#dane.dat
#przykładowe dane
#czas(s) droga(m) predkosc(m/s)
1.251327 1.0247305 0.000000
1.502655 1.0652931 1.4105554612153217
1.753982 1.125012 1.5590784809406477
1.00531 1.196106 0.8404857094605328
1.25664 1.270357 0.9892022478720549
1.50796 1.339749 1.1255541149872101
1.75929 1.397015 1.259320766061925
1.01062 1.436054 0.7037479092011861
1.26195 1.452214 0.8689834969226299
1.51327 1.442452 1.049095567824787
1.7646 1.405419 1.2555686240188868
1.01593 1.341495 0.7573118051129523
1.26726 1.252758 1.0115760585843396
1.51858 1.142889 1.328720461917124
1.76991 1.0169508 1.7404086805379375
1.02124 1.118975 0.9126566724010813
